Date,Clicks,Impressions,CTR,Position
2025-07-20,2,182,1.1%,10.9
2025-07-21,1,229,0.44%,11.2
2025-07-22,1,200,0.5%,10.9
2025-07-23,2,177,1.13%,10.8
2025-07-24,0,170,0%,12.3
2025-07-25,0,135,0%,9.7
2025-07-26,2,167,1.2%,10.7
2025-07-27,1,158,0.63%,9.6
2025-07-28,2,190,1.05%,9.5
2025-07-29,0,184,0%,11.1
2025-07-30,1,182,0.55%,10.2
2025-07-31,0,145,0%,8
2025-08-01,2,148,1.35%,10.4
2025-08-02,2,162,1.23%,12.5
2025-08-03,0,145,0%,9.7
2025-08-04,1,174,0.57%,10.6
2025-08-05,2,152,1.32%,13
2025-08-06,1,182,0.55%,13.1
2025-08-07,0,151,0%,11
2025-08-08,1,164,0.61%,10.8
2025-08-09,0,139,0%,11
2025-08-10,0,141,0%,11.2
2025-08-11,0,153,0%,10.7
2025-08-12,1,174,0.57%,10.5
2025-08-13,1,160,0.62%,9.8
2025-08-14,2,193,1.04%,9.4
2025-08-15,1,177,0.56%,8.7
2025-08-16,1,166,0.6%,12.4
2025-08-17,2,168,1.19%,8.8
2025-08-18,1,183,0.55%,8.8
2025-08-19,1,174,0.57%,7.1
2025-08-20,1,164,0.61%,9.5
2025-08-21,1,202,0.5%,9.3
2025-08-22,2,178,1.12%,11.1
2025-08-23,0,208,0%,10
2025-08-24,1,214,0.47%,12
2025-08-25,1,219,0.46%,7.1
2025-08-26,0,208,0%,10.6
2025-08-27,1,176,0.57%,11
2025-08-28,1,150,0.67%,18.8
2025-08-29,1,189,0.53%,7.7
2025-08-30,1,151,0.66%,11
2025-08-31,0,161,0%,12.8
2025-09-01,1,200,0.5%,11.6
2025-09-02,1,199,0.5%,11.2
2025-09-03,1,216,0.46%,7.8
2025-09-04,1,229,0.44%,8.9
2025-09-05,1,179,0.56%,10.4
2025-09-06,1,213,0.47%,11.7
2025-09-07,0,212,0%,11.2
2025-09-08,0,209,0%,10.8
2025-09-09,0,202,0%,9.4
2025-09-10,0,175,0%,11.6
2025-09-11,2,179,1.12%,9.2
2025-09-12,2,139,1.44%,6.9
2025-09-13,0,170,0%,8.2
2025-09-14,0,146,0%,8.5
2025-09-15,3,157,1.91%,6.1
2025-09-16,1,172,0.58%,7.8
2025-09-17,1,177,0.56%,10
2025-09-18,1,142,0.7%,8.2
2025-09-19,2,163,1.23%,6
2025-09-20,1,167,0.6%,9.8
2025-09-21,0,141,0%,7.6
2025-09-22,1,144,0.69%,6.5
2025-09-23,4,195,2.05%,7.5
2025-09-24,0,165,0%,7.6
2025-09-25,1,149,0.67%,7.5
2025-09-26,1,178,0.56%,7.2
2025-09-27,1,191,0.52%,11.3
2025-09-28,0,160,0%,7.9
2025-09-29,1,177,0.56%,7.6
2025-09-30,2,134,1.49%,9
2025-10-01,2,118,1.69%,7.7
2025-10-02,2,131,1.53%,6.6
2025-10-03,1,131,0.76%,7
2025-10-04,0,149,0%,8.9
2025-10-05,1,145,0.69%,5.9
2025-10-06,2,142,1.41%,6.8
2025-10-07,2,170,1.18%,6.6
2025-10-08,1,159,0.63%,6.8
2025-10-09,3,171,1.75%,12.2
2025-10-10,1,149,0.67%,8.6
2025-10-11,0,149,0%,11.5
2025-10-12,1,118,0.85%,8.4
2025-10-13,3,172,1.74%,7.1
2025-10-14,2,143,1.4%,6.8
2025-10-15,1,155,0.65%,6.8
