Country,Clicks,Impressions,CTR,Position
United States,24,8858,0.27%,8.17
United Kingdom,5,713,0.7%,14.44
Canada,2,806,0.25%,6.95
Australia,1,241,0.41%,8.78
Netherlands,1,27,3.7%,7.37
Poland,1,16,6.25%,6.88
Hong Kong,1,8,12.5%,4.38
Italy,1,5,20%,5
Sweden,1,3,33.33%,3.67
Ireland,0,192,0%,22.85
Indonesia,0,169,0%,2.5
India,0,92,0%,6.2
Philippines,0,79,0%,7.33
New Zealand,0,61,0%,5.89
Brazil,0,58,0%,6.74
Saudi Arabia,0,53,0%,5.87
Malaysia,0,52,0%,2.75
South Africa,0,30,0%,3.87
Vietnam,0,29,0%,9.9
Pakistan,0,22,0%,5.5
Thailand,0,22,0%,9.55
Russia,0,20,0%,10.45
Kenya,0,19,0%,2.79
Qatar,0,19,0%,5.58
Argentina,0,19,0%,6.21
Egypt,0,19,0%,8.68
Spain,0,18,0%,7.89
Bangladesh,0,18,0%,8.17
Mexico,0,18,0%,12.83
Ukraine,0,18,0%,15.33
South Korea,0,17,0%,5.12
Israel,0,17,0%,6.59
Belgium,0,16,0%,11.06
United Arab Emirates,0,15,0%,5
France,0,15,0%,6.8
Japan,0,13,0%,6.08
Turkey,0,12,0%,6.58
Uganda,0,10,0%,1.6
Singapore,0,9,0%,7.33
Peru,0,9,0%,11.44
Norway,0,8,0%,4.88
Zimbabwe,0,8,0%,5.38
Cambodia,0,7,0%,2.86
Sri Lanka,0,7,0%,5.86
Morocco,0,7,0%,6
Colombia,0,7,0%,6.57
Kuwait,0,6,0%,3.17
Nigeria,0,6,0%,4.33
Kazakhstan,0,6,0%,4.83
Germany,0,6,0%,6.83
Tunisia,0,6,0%,7.33
Iran,0,6,0%,8.33
Venezuela,0,5,0%,3.4
Uzbekistan,0,5,0%,5
Denmark,0,5,0%,5.2
Ecuador,0,5,0%,6.2
Taiwan,0,5,0%,6.2
Oman,0,5,0%,6.4
Tanzania,0,5,0%,7
Serbia,0,5,0%,12.4
Lebanon,0,4,0%,1.5
Ghana,0,4,0%,3.75
Algeria,0,4,0%,4.5
Bulgaria,0,4,0%,4.75
Cyprus,0,4,0%,6
Greece,0,4,0%,8
Myanmar (Burma),0,4,0%,8
China,0,4,0%,8.25
Ethiopia,0,4,0%,9
Portugal,0,4,0%,9
Jamaica,0,3,0%,1
Namibia,0,3,0%,1
Chile,0,3,0%,2.33
Iraq,0,3,0%,2.33
Paraguay,0,3,0%,3.67
Austria,0,3,0%,4
Jordan,0,3,0%,4.67
Dominican Republic,0,3,0%,5
Moldova,0,3,0%,6
Switzerland,0,3,0%,7.33
Slovakia,0,3,0%,8.33
Unknown Region,0,3,0%,8.67
Armenia,0,2,0%,1
Bahrain,0,2,0%,1
Bahamas,0,2,0%,1
Montenegro,0,2,0%,1
Czechia,0,2,0%,3
Nepal,0,2,0%,3
Maldives,0,2,0%,3.5
Iceland,0,2,0%,4
Malta,0,2,0%,4
Finland,0,2,0%,4.5
Liberia,0,2,0%,5
Uruguay,0,2,0%,6.5
Costa Rica,0,2,0%,7
Belarus,0,2,0%,7.5
Botswana,0,2,0%,7.5
Grenada,0,2,0%,8
Belize,0,2,0%,8.5
Romania,0,2,0%,9.5
Zambia,0,2,0%,11.5
Georgia,0,2,0%,14.5
Albania,0,2,0%,16
Afghanistan,0,1,0%,1
Burundi,0,1,0%,1
Brunei,0,1,0%,1
Estonia,0,1,0%,1
Malawi,0,1,0%,1
Somalia,0,1,0%,1
Benin,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,2
Bolivia,0,1,0%,2
Puerto Rico,0,1,0%,2
Suriname,0,1,0%,2
Togo,0,1,0%,2
Azerbaijan,0,1,0%,3
Sudan,0,1,0%,3
Trinidad & Tobago,0,1,0%,3
Libya,0,1,0%,5
Mongolia,0,1,0%,5
Faroe Islands,0,1,0%,7
Hungary,0,1,0%,8
U.S. Virgin Islands,0,1,0%,8
Swaziland,0,1,0%,10
Guatemala,0,1,0%,11
Laos,0,1,0%,11
Yemen,0,1,0%,13
Nicaragua,0,1,0%,16
El Salvador,0,1,0%,16
Côte d’Ivoire,0,1,0%,21
