Date,Clicks,Impressions,CTR,Position
2025-07-20,0,27,0%,5.6
2025-07-21,0,32,0%,5.6
2025-07-22,0,31,0%,8.4
2025-07-23,0,24,0%,6.5
2025-07-24,0,31,0%,10
2025-07-25,0,24,0%,7
2025-07-26,0,28,0%,6.2
2025-07-27,2,41,4.88%,5.9
2025-07-28,0,22,0%,5.8
2025-07-29,0,13,0%,6
2025-07-30,0,24,0%,6.9
2025-07-31,0,33,0%,6.7
2025-08-01,1,27,3.7%,8.7
2025-08-02,0,33,0%,6.1
2025-08-03,0,19,0%,8.1
2025-08-04,0,15,0%,5.8
2025-08-05,0,28,0%,6.1
2025-08-06,0,24,0%,5.9
2025-08-07,0,16,0%,7.8
2025-08-08,0,25,0%,5.2
2025-08-09,0,22,0%,4.5
2025-08-10,0,21,0%,5.3
2025-08-11,0,12,0%,7.2
2025-08-12,0,16,0%,4.9
2025-08-13,0,15,0%,6.9
2025-08-14,0,22,0%,10.6
2025-08-15,1,19,5.26%,5.4
2025-08-16,0,20,0%,7.1
2025-08-17,0,29,0%,6.6
2025-08-18,0,31,0%,6.4
2025-08-19,0,12,0%,5.5
2025-08-20,0,28,0%,5.7
2025-08-21,0,31,0%,7.1
2025-08-22,0,25,0%,8
2025-08-23,0,32,0%,8.1
2025-08-24,0,24,0%,9.9
2025-08-25,0,39,0%,5.1
2025-08-26,0,20,0%,7
2025-08-27,0,18,0%,7.1
2025-08-28,1,32,3.12%,24.1
2025-08-29,0,14,0%,6.2
2025-08-30,0,24,0%,21
2025-08-31,0,11,0%,6.3
2025-09-01,0,28,0%,3.8
2025-09-02,0,34,0%,8.5
2025-09-03,0,37,0%,11.8
2025-09-04,0,0,,
2025-09-05,0,47,0%,11.4
2025-09-06,0,40,0%,11.5
2025-09-07,0,42,0%,7.7
2025-09-08,0,61,0%,12.6
2025-09-09,0,29,0%,8.7
2025-09-10,0,42,0%,21.4
2025-09-11,0,48,0%,16
2025-09-12,0,23,0%,5.3
2025-09-13,0,23,0%,6.1
2025-09-14,0,14,0%,5.9
2025-09-15,0,24,0%,6.2
2025-09-16,0,30,0%,7.6
2025-09-17,0,34,0%,5.5
2025-09-18,0,25,0%,5.8
2025-09-19,0,10,0%,5.8
2025-09-20,0,12,0%,6.6
2025-09-21,0,13,0%,6.1
2025-09-22,0,13,0%,4.5
2025-09-23,0,27,0%,6.9
2025-09-24,0,22,0%,5.4
2025-09-25,0,21,0%,5.9
2025-09-26,1,36,2.78%,8.1
2025-09-27,0,17,0%,6.5
2025-09-28,0,25,0%,6.9
2025-09-29,0,23,0%,6
2025-09-30,0,23,0%,5.9
2025-10-01,0,11,0%,5.1
2025-10-02,0,18,0%,6.8
2025-10-03,0,16,0%,7.3
2025-10-04,0,17,0%,7.7
2025-10-05,0,22,0%,6.5
2025-10-06,0,36,0%,8.8
2025-10-07,0,27,0%,6.2
2025-10-08,0,23,0%,7.1
2025-10-09,0,19,0%,5.8
