Country,Clicks,Impressions,CTR,Position
United States,3,1572,0.19%,6.58
Saudi Arabia,0,37,0%,5.43
Canada,0,20,0%,6.4
Qatar,0,19,0%,4.95
Thailand,0,11,0%,5.64
Belgium,0,8,0%,5.88
Malaysia,0,7,0%,1.29
Nigeria,0,7,0%,1.43
Kenya,0,7,0%,4.57
Philippines,0,7,0%,6.43
Pakistan,0,7,0%,6.71
India,0,6,0%,6
Japan,0,5,0%,2.8
Poland,0,5,0%,4.2
Russia,0,5,0%,4.2
Oman,0,5,0%,5.2
Bangladesh,0,5,0%,5.8
Sri Lanka,0,5,0%,5.8
Argentina,0,4,0%,2.5
South Korea,0,4,0%,2.75
New Zealand,0,4,0%,3
Cambodia,0,4,0%,3.25
Brazil,0,4,0%,3.75
South Africa,0,4,0%,7.75
France,0,3,0%,1.67
Netherlands,0,3,0%,2.33
Vietnam,0,3,0%,2.67
Indonesia,0,3,0%,3
Hong Kong,0,3,0%,4
Uganda,0,3,0%,4
Turkey,0,3,0%,4.33
Kuwait,0,3,0%,4.67
United Kingdom,0,3,0%,5
Israel,0,3,0%,5.33
Morocco,0,3,0%,5.33
Montenegro,0,2,0%,1
Mongolia,0,2,0%,1
Lebanon,0,2,0%,2
Uzbekistan,0,2,0%,3
Cyprus,0,2,0%,3.5
Dominican Republic,0,2,0%,3.5
Ghana,0,2,0%,3.5
Malta,0,2,0%,4
Nepal,0,2,0%,4
Jamaica,0,2,0%,5
Sweden,0,2,0%,5
United Arab Emirates,0,2,0%,5.5
Germany,0,2,0%,6.5
Ecuador,0,2,0%,6.5
Grenada,0,2,0%,8
Bahrain,0,1,0%,1
Czechia,0,1,0%,1
Denmark,0,1,0%,1
Maldives,0,1,0%,1
Bosnia & Herzegovina,0,1,0%,2
Brunei,0,1,0%,2
Croatia,0,1,0%,2
Jordan,0,1,0%,2
Puerto Rico,0,1,0%,2
Somalia,0,1,0%,2
Togo,0,1,0%,2
Kosovo,0,1,0%,2
Zimbabwe,0,1,0%,2
Iraq,0,1,0%,3
Portugal,0,1,0%,3
Sudan,0,1,0%,3
Tunisia,0,1,0%,3
China,0,1,0%,4
Afghanistan,0,1,0%,5
Armenia,0,1,0%,5
Bulgaria,0,1,0%,5
Belize,0,1,0%,5
Colombia,0,1,0%,5
Costa Rica,0,1,0%,5
Finland,0,1,0%,5
Iran,0,1,0%,5
Mexico,0,1,0%,5
Serbia,0,1,0%,5
Bahamas,0,1,0%,6
Iceland,0,1,0%,6
Faroe Islands,0,1,0%,7
Ireland,0,1,0%,7
Suriname,0,1,0%,7
Singapore,0,1,0%,9
Australia,0,1,0%,10
Swaziland,0,1,0%,10
Botswana,0,1,0%,11
Yemen,0,1,0%,13
